,MODEL_TYPE,PLAYER_INDEX,age,bonus_calc,bot_test,difficulty,early_exit,fun,gender,intuitiveness,other_feedback,partner_strategy,self_strategy,smoothness,video_games,workerid_num
57,pbt,1,26,0.7000000000000001,I listen to all types of music but mostly listen to electronic music based on the intricacies involved in the music.,1,False,3,male,6,,"I would describe my partners strategy as generally mindless. Through multiple rounds, no work was done based on their actions.",I would describe my strategy as always trying to be efficient with each movement.,1,My experience playing video games is moderate.,0
24,pbt,0,26,1.1000000000000003,I prefer alternative music since it is less predictable than pop (not as repetitious) and is what I grew up listening to.,5,False,5,Male,4,I think the AI can be programmed better unless that is supposed to be how it acts. I liked the game though!,I think he tried to help me? A lot of times he would get stuck and not even move. It was aggravating wanting to go faster but he would get in the way or not pick up the correct things.,"I tried to do things as fast as possible while not upsetting the AI too much. Unfortunately my ""helper"" wasn't the smartest thing and impeded things more than helping things.",2,"I've played them pretty extensively since I was young, and my favorite types of games are rhythm and platforming games",1
27,pbt,0,30,0.6,I listen to top 40 music because it usually encompasses a mix of artists that I like. ,4,False,6,male,4,"no, thank you",try to get in my way,try to avoid the other chef,5,casual,2
22,pbt,0,31,1.3000000000000005,I listen to metal because it helps me power through the day.,2,False,5,Male,4,"Nope, thank you.","To pick up onions when they were no longer needed, or to stand there and compute its next action without actually arriving at it.","My strategy at first was to keep up with the AI, but that changed when I realized the 9 times out of 10 the AI was running around randomly.",1,"Fun, but the AI is a bit annoying.",3
30,pbt,0,31,0.39999999999999997,i listen to all types of music because it depends on my mood. ,3,False,5,female,4,Controls should be simpler. ,I'm not sure. Sometimes they seemed to be in the way.,Tried to do the most I could. Help my partner whenever I could.,3,"I love playing video games, I play them often.",4
19,pbt,1,25,1.4000000000000006,I listen to anything but country because I like variety in my music.,4,False,4,female,6,the computer player could be improved quite a bit.,follow my lead,"I tried to find the shortest path to finish the task, and cooperate with the other player.",1,I've played games like this before and consider video games a big hobby of mine.,5
17,pbt,0,37,0.7000000000000001,"I listen to many different kinds of music depending on my mood. I listen to music to relax, to remember, to party, to worship. ",4,False,4,Male,4,I have no comments.,I think he tried to stay out of my way.,I tried to stay out of the other players way.,3,I played video games for like 30 years. ,6
35,pbt,0,22,1.1500000000000004,"I listen to quite a wide variety of music. I'm able to enjoy and appreciate most forms of music, so I can't pin down one specific type.",3,False,4,Male,3,There needs to be more ways to interact or instruct my partner. It often didn't feel like we were working towards the same goal and were instead fighting against each other.,My partner's strategy seemed very haphazard and undisciplined. They often walked back and forth unnecessarily or stood in the way of paths for no reason.,"I tried to move mostly independently from my partner. Oftentimes, my partner felt like a hindrance and since there was no way to instruct them, I had to try and maneuver around them.",2,"I've played video games for many years. I don't play as often as some people my age, but I'm competent at them.",7
15,pbt,1,31,1.4500000000000006,I listen to a variety of music. One of my favorite genres is ska. I like the combination of brass instruments and punk music. Ska usually has cool bass lines and good lyrics.,4,False,4,male,5,"It was fun, although could be a bit hectic when the AI was not going the way I was expecting. It would be interesting to make it a co-operative game, instead of with AI. Having a way to tell the AI go the other direction would be nice.","They would usually go the shortest route to things, which could end up with us getting in each others way.","Depending on the layout, try to stay out of the way of the other person. If we had to work together, do my best to do my part so they can do their part.",4,"I've played a lot of video games over the years. Lots of different stuff from first person shooters, simple games like from the Atari 2600 and lots of other stuff.",8
25,pbt,1,23,1.1000000000000003,I listen to rock music because it is fast and most of all I enjoy the lyrics and beats.,5,False,3,Male,6,Improve the partner A.I.,What strategy??,Get as many points as possible.,1,"A lot, I am been gamer since I was 6 years old.",9
