,workerid_num,Unnamed: 0,MODEL_TYPE,PLAYER_INDEX,age,bonus_calc,bot_test,difficulty,early_exit,fun,gender,intuitiveness,other_feedback,partner_strategy,self_strategy,smoothness,video_games,layout_name,reward
0,0,57,pbt,1,26,0.7000000000000001,I listen to all types of music but mostly listen to electronic music based on the intricacies involved in the music.,1,False,3,male,6,,"I would describe my partners strategy as generally mindless. Through multiple rounds, no work was done based on their actions.",I would describe my strategy as always trying to be efficient with each movement.,1,My experience playing video games is moderate.,asymmetric_advantages,100
1,0,57,pbt,1,26,0.7000000000000001,I listen to all types of music but mostly listen to electronic music based on the intricacies involved in the music.,1,False,3,male,6,,"I would describe my partners strategy as generally mindless. Through multiple rounds, no work was done based on their actions.",I would describe my strategy as always trying to be efficient with each movement.,1,My experience playing video games is moderate.,coordination_ring,100
2,0,57,pbt,1,26,0.7000000000000001,I listen to all types of music but mostly listen to electronic music based on the intricacies involved in the music.,1,False,3,male,6,,"I would describe my partners strategy as generally mindless. Through multiple rounds, no work was done based on their actions.",I would describe my strategy as always trying to be efficient with each movement.,1,My experience playing video games is moderate.,cramped_room,80
3,0,57,pbt,1,26,0.7000000000000001,I listen to all types of music but mostly listen to electronic music based on the intricacies involved in the music.,1,False,3,male,6,,"I would describe my partners strategy as generally mindless. Through multiple rounds, no work was done based on their actions.",I would describe my strategy as always trying to be efficient with each movement.,1,My experience playing video games is moderate.,random0,0
4,0,57,pbt,1,26,0.7000000000000001,I listen to all types of music but mostly listen to electronic music based on the intricacies involved in the music.,1,False,3,male,6,,"I would describe my partners strategy as generally mindless. Through multiple rounds, no work was done based on their actions.",I would describe my strategy as always trying to be efficient with each movement.,1,My experience playing video games is moderate.,random3,0
5,1,24,pbt,0,26,1.1000000000000003,I prefer alternative music since it is less predictable than pop (not as repetitious) and is what I grew up listening to.,5,False,5,Male,4,I think the AI can be programmed better unless that is supposed to be how it acts. I liked the game though!,I think he tried to help me? A lot of times he would get stuck and not even move. It was aggravating wanting to go faster but he would get in the way or not pick up the correct things.,"I tried to do things as fast as possible while not upsetting the AI too much. Unfortunately my ""helper"" wasn't the smartest thing and impeded things more than helping things.",2,"I've played them pretty extensively since I was young, and my favorite types of games are rhythm and platforming games",asymmetric_advantages,120
6,1,24,pbt,0,26,1.1000000000000003,I prefer alternative music since it is less predictable than pop (not as repetitious) and is what I grew up listening to.,5,False,5,Male,4,I think the AI can be programmed better unless that is supposed to be how it acts. I liked the game though!,I think he tried to help me? A lot of times he would get stuck and not even move. It was aggravating wanting to go faster but he would get in the way or not pick up the correct things.,"I tried to do things as fast as possible while not upsetting the AI too much. Unfortunately my ""helper"" wasn't the smartest thing and impeded things more than helping things.",2,"I've played them pretty extensively since I was young, and my favorite types of games are rhythm and platforming games",coordination_ring,120
7,1,24,pbt,0,26,1.1000000000000003,I prefer alternative music since it is less predictable than pop (not as repetitious) and is what I grew up listening to.,5,False,5,Male,4,I think the AI can be programmed better unless that is supposed to be how it acts. I liked the game though!,I think he tried to help me? A lot of times he would get stuck and not even move. It was aggravating wanting to go faster but he would get in the way or not pick up the correct things.,"I tried to do things as fast as possible while not upsetting the AI too much. Unfortunately my ""helper"" wasn't the smartest thing and impeded things more than helping things.",2,"I've played them pretty extensively since I was young, and my favorite types of games are rhythm and platforming games",cramped_room,140
8,1,24,pbt,0,26,1.1000000000000003,I prefer alternative music since it is less predictable than pop (not as repetitious) and is what I grew up listening to.,5,False,5,Male,4,I think the AI can be programmed better unless that is supposed to be how it acts. I liked the game though!,I think he tried to help me? A lot of times he would get stuck and not even move. It was aggravating wanting to go faster but he would get in the way or not pick up the correct things.,"I tried to do things as fast as possible while not upsetting the AI too much. Unfortunately my ""helper"" wasn't the smartest thing and impeded things more than helping things.",2,"I've played them pretty extensively since I was young, and my favorite types of games are rhythm and platforming games",random0,20
9,1,24,pbt,0,26,1.1000000000000003,I prefer alternative music since it is less predictable than pop (not as repetitious) and is what I grew up listening to.,5,False,5,Male,4,I think the AI can be programmed better unless that is supposed to be how it acts. I liked the game though!,I think he tried to help me? A lot of times he would get stuck and not even move. It was aggravating wanting to go faster but he would get in the way or not pick up the correct things.,"I tried to do things as fast as possible while not upsetting the AI too much. Unfortunately my ""helper"" wasn't the smartest thing and impeded things more than helping things.",2,"I've played them pretty extensively since I was young, and my favorite types of games are rhythm and platforming games",random3,40
10,2,27,pbt,0,30,0.6,I listen to top 40 music because it usually encompasses a mix of artists that I like. ,4,False,6,male,4,"no, thank you",try to get in my way,try to avoid the other chef,5,casual,asymmetric_advantages,60
11,2,27,pbt,0,30,0.6,I listen to top 40 music because it usually encompasses a mix of artists that I like. ,4,False,6,male,4,"no, thank you",try to get in my way,try to avoid the other chef,5,casual,coordination_ring,80
12,2,27,pbt,0,30,0.6,I listen to top 40 music because it usually encompasses a mix of artists that I like. ,4,False,6,male,4,"no, thank you",try to get in my way,try to avoid the other chef,5,casual,cramped_room,80
13,2,27,pbt,0,30,0.6,I listen to top 40 music because it usually encompasses a mix of artists that I like. ,4,False,6,male,4,"no, thank you",try to get in my way,try to avoid the other chef,5,casual,random0,20
